OTU	F3D0_S188	F3D141_S207	F3D142_S208	F3D143_S209	F3D144_S210	F3D145_S211	F3D146_S212	F3D147_S213	F3D148_S214	F3D149_S215	F3D150_S216	F3D1_S189	F3D2_S190	F3D3_S191	F3D5_S193	F3D6_S194	F3D7_S195	F3D8_S196	F3D9_S197
1059977 Streptococcus agalactiae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1096270 Staphylococcus aureus	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1105663 Prauserella rugosa	15	3	3	2	2	8	1	14	11	5	5	2	33	5	8	2	5	3	9
1107026 Streptomyces werraensis	6	3	11	2	1	2	0	7	0	3	5	10	21	5	0	24	9	9	8
1110606 Collinsella aerofaciens	89	21	2	6	10	4	3	1	10	10	2	12	39	5	10	16	7	18	15
1125725 Pseudoxanthomonas kalamensis	0	3	8	1	9	16	10	6	10	4	7	0	0	0	0	0	2	10	4
1127637 Haererehalobacter salaria	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1
1127719 Oceaniserpentilla haliotis	0	1	0	1	0	0	1	3	6	6	4	4	5	2	3	0	2	2	0
1131768 Carboxydothermus siderophilus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131391 Bifidobacterium pseudolongum	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
132913 Skermania piniformis	2	1	1	1	0	0	1	1	1	6	3	3	30	16	11	9	1	2	2
14030 [Ruminococcus] gnavus	7	3	2	0	1	1	0	7	6	7	1	6	31	8	1	1	2	6	10
143665 Pseudomonas nitroreducens	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15281 Enterococcus sulfureus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1571244 Anoxybacillus kestanbolensis	16	10	0	2	0	2	3	9	12	4	3	3	26	12	5	3	8	3	6
158494 Bacteroides barnesiae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
163130 Bacillus aurantiacus	0	2	1	1	0	1	0	0	1	5	1	0	0	0	0	0	0	0	0
164066 Staphylococcus sciuri	1	8	1	6	1	1	2	7	5	18	12	0	2	1	1	2	0	0	1
164719 [Ruminococcus] gnavus	13	0	0	0	0	0	0	1	0	0	0	10	26	2	8	1	0	1	0
166292 Plesiomonas shigelloides	28	7	3	1	2	2	14	15	8	13	8	22	40	5	12	40	4	28	36
1664540 Pseudoalteromonas porphyrae	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
167717 Plesiomonas shigelloides	0	6	1	4	12	15	10	18	13	12	0	0	1	9	1	1	1	0	2
168116 Xenorhabdus kozodoii	0	2	1	1	6	2	1	2	4	6	4	0	0	0	2	1	0	0	2
170998 Staphylococcus sciuri	64	40	27	18	41	84	29	118	112	105	40	29	175	96	41	35	21	17	36
1715972 Millettia pinnata	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
173738 Cetobacterium somerae	18	0	0	0	0	0	1	0	0	0	0	9	18	7	2	8	1	2	4
173827 Salinispora arenicola	1	1	1	0	0	2	1	13	6	3	0	3	1	0	2	5	0	1	0
173845 Streptomyces ahygroscopicus	9	3	1	2	2	2	3	40	9	18	4	8	13	1	5	26	0	5	11
174066 [Eubacterium] biforme	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
174337 Akkermansia muciniphila	18	11	4	9	1	5	17	32	16	33	31	19	72	7	17	16	9	19	29
174419 Coprococcus eutactus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
174439 Faecalibacterium prausnitzii	26	8	3	10	15	13	33	32	12	38	24	44	130	17	39	47	11	42	62
174666 Arthrobacter oxydans	26	24	10	14	5	5	30	38	48	80	28	31	42	7	9	28	12	5	16
175411 Faecalibacterium prausnitzii	2	1	0	0	0	0	1	0	0	0	0	7	25	5	12	28	8	9	7
175791 Faecalibacterium prausnitzii	4	1	0	2	1	2	2	5	5	3	3	0	4	0	1	0	0	6	6
176153 Faecalibacterium prausnitzii	56	80	27	34	52	99	54	495	253	203	83	9	40	17	18	13	8	6	8
176858 [Ruminococcus] gnavus	0	1	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	1	0
177016 Collinsella aerofaciens	0	2	0	2	0	1	2	8	3	3	2	3	6	2	1	2	2	4	5
177620 Ruminococcus albus	36	80	27	56	11	11	63	72	78	234	124	14	18	1	5	5	2	5	3
179340 Blautia producta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
179463 Streptomyces lanatus	0	1	2	0	1	4	1	20	8	2	4	0	0	0	0	1	0	0	0
180797 Blautia obeum	6	2	2	2	2	3	7	6	3	8	3	12	19	18	16	26	12	35	47
180959 Bacillus flexus	9	2	3	0	1	1	3	15	1	1	2	22	45	4	19	25	18	50	97
182631 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
182886 Bacteroides uniformis	0	0	0	1	0	3	0	2	1	2	2	0	4	4	2	12	12	12	12
183088 Collinsella aerofaciens	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1833543 Bacteroides ovatus	0	1	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	1	0
184536 [Ruminococcus] gnavus	0	0	0	0	0	0	0	2	0	3	4	0	2	0	0	0	0	0	0
184897 Faecalibacterium prausnitzii	1	22	2	6	10	11	36	12	5	0	0	0	0	1	1	4	1	10	12
185338 [Ruminococcus] gnavus	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
185441 [Ruminococcus] gnavus	1	0	1	1	1	1	0	2	1	0	0	0	0	0	1	0	0	1	0
186705 Akkermansia muciniphila	16	4	2	4	2	2	2	6	2	6	4	12	23	2	6	14	2	11	12
186752 Dorea formicigenerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
187703 [Ruminococcus] gnavus	0	6	1	4	5	7	11	3	15	28	3	0	6	0	3	7	0	1	3
188090 [Ruminococcus] gnavus	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
188369 Pseudomonas stutzeri	1	1	0	0	0	0	0	0	3	1	0	1	3	0	0	0	0	0	0
189284 Prevotella copri	2	4	1	7	0	1	4	6	4	18	8	1	17	0	6	5	1	1	9
189403 [Ruminococcus] gnavus	68	2	4	0	3	6	36	33	7	6	5	99	198	13	48	108	44	39	48
190675 Faecalibacterium prausnitzii	6	0	0	0	2	0	0	0	2	0	1	4	6	1	2	1	3	1	1
190698 Faecalibacterium prausnitzii	20	12	2	4	2	4	14	11	19	50	21	19	43	5	6	8	2	11	5
191097 Faecalibacterium prausnitzii	1	0	1	0	1	0	1	3	0	1	0	4	10	1	0	4	1	3	4
191258 Akkermansia muciniphila	27	56	11	21	9	17	22	42	41	145	88	33	41	9	0	21	3	8	14
191319 Prevotella copri	0	4	0	7	1	3	4	4	7	17	8	1	6	9	1	3	2	2	1
1918929 Zea luxurians	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	2	0	4	1
192680 Lactobacillus ruminis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
192800 Faecalibacterium prausnitzii	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
193014 Phormidium priestleyi	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
193675 Sinorhizobium terangae	3	7	3	2	1	8	17	17	5	10	9	15	36	4	11	15	5	13	20
194273 [Eubacterium] biforme	11	3	0	2	2	5	4	4	4	9	4	7	3	0	1	0	2	9	6
194384 Blautia producta	17	28	2	4	3	2	13	24	20	25	13	34	50	10	16	22	6	23	24
194489 Pseudomonas pseudoalcaligenes	135	268	57	70	33	95	49	61	411	420	95	150	966	303	150	194	169	221	347
194689 Streptomyces netropsis	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0
195385 [Ruminococcus] gnavus	5	3	1	1	6	2	1	8	8	10	7	3	7	1	7	10	5	3	7
195421 [Ruminococcus] gnavus	2	0	0	1	2	1	6	4	6	8	1	0	0	0	0	1	0	0	1
195444 [Ruminococcus] gnavus	0	0	0	1	0	1	1	4	1	1	0	0	0	0	0	0	0	0	0
195474 Lysinibacillus boronitolerans	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0
195877 Alcanivorax dieselolei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
196014 Collinsella aerofaciens	669	453	272	315	508	727	417	1737	1298	939	296	76	147	23	20	15	9	2	4
196488 Faecalibacterium prausnitzii	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
196664 Bacteroides uniformis	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
197072 Bacteroides uniformis	0	3	0	0	6	5	1	14	10	6	2	0	2	0	0	2	4	0	1
197361 Faecalibacterium prausnitzii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197763 Prevotella copri	4	9	6	7	3	9	1	27	17	15	3	9	21	4	4	9	1	5	6
197780 Pseudomonas veronii	12	0	3	0	1	1	2	7	3	0	0	14	24	5	7	10	4	8	8
198054 [Eubacterium] dolichum	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0
198589 Bacillus halodurans	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
198690 [Ruminococcus] gnavus	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
199597 Paenibacillus amylolyticus	3	4	1	0	1	0	2	1	4	9	2	4	7	4	7	1	2	13	9
199702 Faecalibacterium prausnitzii	9	9	1	3	4	5	8	8	9	20	7	22	76	16	34	36	31	37	50
204086 Nocardiopsis lucentensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
206290 Brevibacillus reuszeri	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
207582 Faecalibacterium prausnitzii	370	306	209	202	318	519	268	1125	749	719	287	124	424	227	150	376	250	190	273
208399 Trabulsiella farmeri	1	11	6	2	8	7	5	24	26	13	7	6	41	13	7	13	12	4	6
208739 Faecalibacterium prausnitzii	6	9	5	6	20	19	7	46	26	15	2	0	12	1	2	1	0	0	0
208861 Faecalibacterium prausnitzii	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210398 Leptospirillum ferrodiazotrophum	548	430	273	217	398	597	300	1440	826	851	297	391	3376	942	303	992	631	256	483
211372 Bacteroides ovatus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
211478 Faecalibacterium prausnitzii	19	14	11	16	16	40	14	65	31	36	9	14	135	34	8	38	24	15	25
214234 Faecalibacterium prausnitzii	31	139	60	81	122	157	88	635	326	334	181	57	345	248	152	156	141	91	118
214827 Novosphingobium capsulatum	8	18	2	12	4	6	10	31	30	60	20	21	69	1	6	7	8	12	16
215083 Herminiimonas arsenicoxydans	5	5	0	1	1	3	1	4	3	10	0	0	6	6	6	5	9	5	10
2168897 Lactobacillus salivarius	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2169466 Bacteroides ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
219149 Staphylococcus sciuri	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2316721 Anoxybacillus kestanbolensis	6	2	0	0	2	1	2	5	3	5	5	2	7	1	4	5	0	5	7
233509 Pseudomonas stutzeri	27	41	13	12	3	23	7	10	76	78	10	31	191	53	36	46	36	42	67
238208 Lysinibacillus boronitolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2429140 Sphingomonas wittichii	0	0	0	0	0	2	1	1	0	3	0	0	1	1	0	0	0	0	0
